timestamp,categoria,documento,chunks,tokens,custo_usd,status
2026-02-28T01:14:37.052151,administrativo,agencia_nacional_de_saude_suplementar_ans_lei_9961,17,8204,0.000164,success
2026-02-28T01:14:38.078197,administrativo,agencias_reguladoras_lei_9986,12,5609,0.000112,success
2026-02-28T01:14:39.128091,administrativo,agu_lc_73_de_1993,18,8556,0.000171,success
2026-02-28T01:14:39.685703,administrativo,agu_lei_9469,7,2900,5.8e-05,success
2026-02-28T01:14:41.730230,administrativo,anatel_lei_9472,62,29719,0.000594,success
2026-02-28T01:14:43.196226,administrativo,antt_lei_10233,58,27631,0.000553,success
2026-02-28T01:14:44.093575,administrativo,anvisa_lei_9782,26,12287,0.000246,success
2026-02-28T01:14:44.424067,administrativo,aposentadoria_lc_152,1,438,9e-06,success
2026-02-28T01:14:44.842700,administrativo,aposentadoria_para_pessoa_com_deficiencia_lc_142,3,1348,2.7e-05,success
2026-02-28T01:14:45.193987,administrativo,assuncao_pela_uniao_de_responsabilidades_civis_perante_terceiros_em_caso_de_atentados_terroristas_atos_de_guerra_lei_10774,3,1410,2.8e-05,success
2026-02-28T01:14:46.034733,administrativo,atribuicoes_da_agu_em_carater_emergencial_ou_provisorio_lei_9028,20,8972,0.000179,success
2026-02-28T01:14:46.672712,administrativo,capacitacao_e_competitividade_do_setor_de_informatica_e_automacao_lei_8248,17,7711,0.000154,success
2026-02-28T01:14:48.042900,administrativo,codigo_brasileiro_de_telecomunicacoes_lei_4117,51,24424,0.000488,success
2026-02-28T01:14:48.658286,administrativo,codigo_de_etica_profissional_do_servidor_publico_civil_do_poder_executivo_federal_dec_1171,8,3399,6.8e-05,success
2026-02-28T01:14:49.059087,administrativo,concessao_de_uso_especial_mp_2220,6,2537,5.1e-05,success
2026-02-28T01:14:50.453007,administrativo,concessao_e_permissao_lei_8987,32,14282,0.000286,success
2026-02-28T01:14:51.434812,administrativo,consorcios_publicos_lei_11107,13,6191,0.000124,success
2026-02-28T01:14:52.047831,administrativo,contratacao_por_tempo_determ_para_atender_a_necessidade_tempor_de_excepcional_interesse_publ_nos_termos_do_inciso_ix_do_art_37_lei_8745,12,5281,0.000106,success
