timestamp,documento,arquivo,chunks,tokens,custo_usd,marca_concurso_count,marca_stf_count,marca_stj_count,bancas_top_5,anos_top_5,status
2026-02-28T01:09:13.761020,abuso_de_autoridade_lei_13869_nova_lei,/Users/gabrielramos/Downloads/docs_rag/legislacao_grifada_e_anotada_atualiz_em_01_01_2026/penal/abuso_de_autoridade_lei_13869_nova_lei.docx,17,7846,0.000157,0,0,0,,,success
2026-02-28T01:09:14.633185,abuso_de_autoridade_lei_4898_antiga_lei,/Users/gabrielramos/Downloads/docs_rag/legislacao_grifada_e_anotada_atualiz_em_01_01_2026/penal/abuso_de_autoridade_lei_4898_antiga_lei.docx,7,3099,6.2e-05,0,0,0,,,success
2026-02-28T01:09:15.840221,aprova_a_politica_nacional_sobre_drogas_dec_9761,/Users/gabrielramos/Downloads/docs_rag/legislacao_grifada_e_anotada_atualiz_em_01_01_2026/penal/aprova_a_politica_nacional_sobre_drogas_dec_9761.docx,34,15637,0.000313,0,0,0,,,success
2026-02-28T01:09:22.669589,codigo_penal_atualizado_ate_27_de_dezembro,/Users/gabrielramos/Downloads/docs_rag/legislacao_grifada_e_anotada_atualiz_em_01_01_2026/penal/codigo_penal_atualizado_ate_27_de_dezembro.docx,264,118011,0.00236,0,0,0,,,success
2026-02-28T01:09:25.074319,codigo_penal_militar,/Users/gabrielramos/Downloads/docs_rag/legislacao_grifada_e_anotada_atualiz_em_01_01_2026/penal/codigo_penal_militar.docx,96,47799,0.000956,0,0,0,,,success
2026-02-28T01:09:25.992350,contravencoes_penais,/Users/gabrielramos/Downloads/docs_rag/legislacao_grifada_e_anotada_atualiz_em_01_01_2026/penal/contravencoes_penais.docx,14,6645,0.000133,0,0,0,,,success
2026-02-28T01:09:26.390481,cria_o_cadastro_nacional_de_pessoas_condenadas_por_crime_de_estupro_lei_14069,/Users/gabrielramos/Downloads/docs_rag/legislacao_grifada_e_anotada_atualiz_em_01_01_2026/penal/cria_o_cadastro_nacional_de_pessoas_condenadas_por_crime_de_estupro_lei_14069.docx,1,494,1e-05,0,0,0,,,success
2026-02-28T01:09:26.754986,crime_de_discriminacao_aos_portadores_de_hiv_lei_12_984,/Users/gabrielramos/Downloads/docs_rag/legislacao_grifada_e_anotada_atualiz_em_01_01_2026/penal/crime_de_discriminacao_aos_portadores_de_hiv_lei_12_984.docx,1,368,7e-06,0,0,0,,,success
2026-02-28T01:09:27.333312,crime_de_genocidio_lei_2889,/Users/gabrielramos/Downloads/docs_rag/legislacao_grifada_e_anotada_atualiz_em_01_01_2026/penal/crime_de_genocidio_lei_2889.docx,2,684,1.4e-05,0,0,0,,,success
2026-02-28T01:09:27.727888,crime_de_sonegacao_fiscal_lei_4729,/Users/gabrielramos/Downloads/docs_rag/legislacao_grifada_e_anotada_atualiz_em_01_01_2026/penal/crime_de_sonegacao_fiscal_lei_4729.docx,3,1235,2.5e-05,0,0,0,,,success
2026-02-28T01:09:28.545141,crimes_contra_a_economia_popular_lei_1521,/Users/gabrielramos/Downloads/docs_rag/legislacao_grifada_e_anotada_atualiz_em_01_01_2026/penal/crimes_contra_a_economia_popular_lei_1521.docx,10,4605,9.2e-05,0,0,0,,,success
2026-02-28T01:09:29.427725,crimes_contra_a_ordem_tributaria_economica_e_contra_as_relacoes_de_consumo_lei_8137,/Users/gabrielramos/Downloads/docs_rag/legislacao_grifada_e_anotada_atualiz_em_01_01_2026/penal/crimes_contra_a_ordem_tributaria_economica_e_contra_as_relacoes_de_consumo_lei_8137.docx,10,4429,8.9e-05,0,0,0,,,success
2026-02-28T01:09:30.133697,crimes_contra_o_sistema_financeiro_lei_7492,/Users/gabrielramos/Downloads/docs_rag/legislacao_grifada_e_anotada_atualiz_em_01_01_2026/penal/crimes_contra_o_sistema_financeiro_lei_7492.docx,7,3328,6.7e-05,0,0,0,,,success
2026-02-28T01:09:30.800612,crimes_contra_ordem_economica_lei_8176,/Users/gabrielramos/Downloads/docs_rag/legislacao_grifada_e_anotada_atualiz_em_01_01_2026/penal/crimes_contra_ordem_economica_lei_8176.docx,2,762,1.5e-05,0,0,0,,,success
2026-02-28T01:09:31.941868,crimes_de_responsabilidade_lei_1079,/Users/gabrielramos/Downloads/docs_rag/legislacao_grifada_e_anotada_atualiz_em_01_01_2026/penal/crimes_de_responsabilidade_lei_1079.docx,21,10090,0.000202,0,0,0,,,success
2026-02-28T01:09:32.470547,crimes_hediondos_lei_8072,/Users/gabrielramos/Downloads/docs_rag/legislacao_grifada_e_anotada_atualiz_em_01_01_2026/penal/crimes_hediondos_lei_8072.docx,9,3939,7.9e-05,0,0,0,,,success
2026-02-28T01:09:33.731857,decreto_11615,/Users/gabrielramos/Downloads/docs_rag/legislacao_grifada_e_anotada_atualiz_em_01_01_2026/penal/decreto_11615.docx,58,27804,0.000556,0,0,0,,,success
2026-02-28T01:09:34.472308,define_organizacao_criminosa_lei_12850,/Users/gabrielramos/Downloads/docs_rag/legislacao_grifada_e_anotada_atualiz_em_01_01_2026/penal/define_organizacao_criminosa_lei_12850.docx,25,11607,0.000232,0,0,0,,,success
2026-02-28T01:09:35.023922,direito_a_cirurgia_plastica_a_mulher_vitima_de_violencia_lei_13239,/Users/gabrielramos/Downloads/docs_rag/legislacao_grifada_e_anotada_atualiz_em_01_01_2026/penal/direito_a_cirurgia_plastica_a_mulher_vitima_de_violencia_lei_13239.docx,2,681,1.4e-05,0,0,0,,,success
